Function                                                                                                                                                                                                                  CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
operator*                                                                                                                                                                                                                   1.690s                   1.690s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x44ccd1     
tVect::operator+                                                                                                                                                                                                            1.680s                   1.680s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41232a     
tVect::operator*                                                                                                                                                                                                            1.680s                   1.680s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x41c2f4     
tVect::tVect                                                                                                                                                                                                                1.680s                   1.680s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::tVect(double const&, double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                  myvector.h        0x40bd8e     
IO::fluidCenterOfMass                                                                                                                                                                                                       1.640s                   1.640s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          IO::fluidCenterOfMass(LB const&) const                                                                                                                                                                                                                                                                                                                                                                                     IO.cpp            0x4389e7     
tVect::operator-                                                                                                                                                                                                            1.640s                   1.640s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x40bd14     
tVect::operator*                                                                                                                                                                                                            1.620s                   1.620s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40bd80     
tVect::operator*                                                                                                                                                                                                            1.570s                   1.570s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40bd7b     
IO::totFluidMass                                                                                                                                                                                                            1.569s                   1.569s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          IO::totFluidMass(LB const&) const                                                                                                                                                                                                                                                                                                                                                                                          IO.cpp            0x437db1     
quaternion::adjoint                                                                                                                                                                                                         1.560s                   1.560s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::adjoint(void) const                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x4225bd     
tVect::operator/                                                                                                                                                                                                            1.550s                   1.550s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x456df3     
tVect::operator*                                                                                                                                                                                                            1.550s                   1.550s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40b72b     
tVect::operator+=                                                                                                                                                                                                           1.540s                   1.540s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x41baa8     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                                                                          1.480s                   1.480s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x45ebd0     
tVect::operator*                                                                                                                                                                                                            1.480s                   1.480s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x421bdf     
tVect::operator/                                                                                                                                                                                                            1.470s                   1.470s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40b9cb     
IO::meanViscosity                                                                                                                                                                                                           1.450s                   1.450s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          IO::meanViscosity(LB const&) const                                                                                                                                                                                                                                                                                                                                                                                         IO.cpp            0x438340     
tVect::tVect                                                                                                                                                                                                                1.440s                   1.440s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::tVect(double const&, double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                  myvector.h        0x40b632     
tVect::tVect                                                                                                                                                                                                                1.420s                   1.420s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::tVect(double const&, double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                  myvector.h        0x411916     
tVect::operator+                                                                                                                                                                                                            1.400s                   1.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41b9f9     
tVect::operator/                                                                                                                                                                                                            1.400s                   1.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x4122ca     
quaternion::operator*                                                                                                                                                                                                       1.399s                   1.399s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x422f2d     
tVect::operator+                                                                                                                                                                                                            1.380s                   1.380s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422390     
tVect::insideSphere                                                                                                                                                                                                         1.370s                   1.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::insideSphere(tVect const&, double const&) const                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x4576e5     
std::vector<int, std::allocator<int>>::size                                                                                                                                                                                 1.350s                   1.350s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<int, std::allocator<int>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                    stl_vector.h      0x4576ca     
operator*                                                                                                                                                                                                                   1.350s                   1.350s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x40b702     
std::vector<node*, std::allocator<node*>>::_M_range_insert<__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>>                                                                                 1.340s                   1.340s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::_M_range_insert<__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>>(__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, __gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, __gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, std::forward_iterator_tag)  vector.tcc        0x447c40     
tVect::operator*                                                                                                                                                                                                            1.330s                   1.330s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40b960     
std::vector<node*, std::allocator<node*>>::size                                                                                                                                                                             1.330s                   1.330s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                stl_vector.h      0x44d837     
DEM::updateParticlesCorrected                                                                                                                                                                                               1.290s                   1.290s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          DEM::updateParticlesCorrected(void)                                                                                                                                                                                                                                                                                                                                                                                        DEM.cpp           0x409cc0     
tVect::dot                                                                                                                                                                                                                  1.280s                   1.280s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x419afc     
std::vector<wall, std::allocator<wall>>::operator[]                                                                                                                                                                         1.260s                   1.260s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<wall, std::allocator<wall>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x411a9f     
tVect::norm                                                                                                                                                                                                                 1.240s                   1.240s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm(void) const                                                                                                                                                                                                                                                                                                                                                                                                    myvector.inl      0x41a0f0     
tVect::norm                                                                                                                                                                                                                 1.240s                   1.240s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm(void) const                                                                                                                                                                                                                                                                                                                                                                                                    myvector.inl      0x41a192     
tVect::operator+                                                                                                                                                                                                            1.230s                   1.230s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422262     
tVect::operator+=                                                                                                                                                                                                           1.220s                   1.220s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x44cd41     
tVect::cross                                                                                                                                                                                                                1.210s                   1.210s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::cross(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                           myvector.inl      0x44cd4c     
tVect::operator*                                                                                                                                                                                                            1.210s                   1.210s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x421bdb     
LB::eraseNode                                                                                                                                                                                                               1.200s                   1.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::eraseNode(unsigned int const&)                                                                                                                                                                                                                                                                                                                                                                                         LB.cpp            0x45ebd0     
quaternion::operator*                                                                                                                                                                                                       1.200s                   1.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x422e3c     
quaternion::operator+                                                                                                                                                                                                       1.159s                   1.159s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x421fb3     
std::vector<particle, std::allocator<particle>>::operator[]                                                                                                                                                                 1.150s                   1.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<particle, std::allocator<particle>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                 stl_vector.h      0x4118df     
std::vector<Elongation, std::allocator<Elongation>>::operator[]                                                                                                                                                             1.140s                   1.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<Elongation, std::allocator<Elongation>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                             stl_vector.h      0x4121b1     
quaternion::operator+                                                                                                                                                                                                       1.140s                   1.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x421ce8     
